sample_idx,mode,Nq,level,bpf,metric,value
0,CBR,0,,10,SI-SDR,-4.0238447189331055
0,CBR,0,,10,PESQ,1.228963017463684
0,CBR,0,,10,STOI,0.7356388568878174
0,CBR,0,,10,ESTOI,0.5367094278335571
0,CBR,0,,10,ViSQOL-speech,3.0801755233068904
0,CBR,0,,10,NISQA_overall_MOS,3.764829158782959
0,CBR,1,,20,SI-SDR,-0.040142010897397995
0,CBR,1,,20,PESQ,1.397705316543579
0,CBR,1,,20,STOI,0.7952976822853088
0,CBR,1,,20,ESTOI,0.61871737241745
0,CBR,1,,20,ViSQOL-speech,3.3113248446192523
0,CBR,1,,20,NISQA_overall_MOS,4.447776794433594
0,CBR,2,,30,SI-SDR,1.7707233428955078
0,CBR,2,,30,PESQ,1.4357118606567383
0,CBR,2,,30,STOI,0.8091397285461426
0,CBR,2,,30,ESTOI,0.6539469957351685
0,CBR,2,,30,ViSQOL-speech,3.4386231592381655
0,CBR,2,,30,NISQA_overall_MOS,4.29783296585083
0,CBR,3,,40,SI-SDR,3.2406461238861084
0,CBR,3,,40,PESQ,1.4773950576782227
0,CBR,3,,40,STOI,0.8155198693275452
0,CBR,3,,40,ESTOI,0.6629551649093628
0,CBR,3,,40,ViSQOL-speech,3.4883107032795024
0,CBR,3,,40,NISQA_overall_MOS,4.4879302978515625
0,CBR,4,,50,SI-SDR,3.984468936920166
0,CBR,4,,50,PESQ,1.5148205757141113
0,CBR,4,,50,STOI,0.8250510096549988
0,CBR,4,,50,ESTOI,0.6752986311912537
0,CBR,4,,50,ViSQOL-speech,3.5400972150000807
0,CBR,4,,50,NISQA_overall_MOS,4.454131603240967
0,CBR,5,,60,SI-SDR,4.28279447555542
0,CBR,5,,60,PESQ,1.4931471347808838
0,CBR,5,,60,STOI,0.8245139122009277
0,CBR,5,,60,ESTOI,0.6787551045417786
0,CBR,5,,60,ViSQOL-speech,3.591599893321854
0,CBR,5,,60,NISQA_overall_MOS,4.531917095184326
0,CBR,6,,70,SI-SDR,4.674586296081543
0,CBR,6,,70,PESQ,1.4944050312042236
0,CBR,6,,70,STOI,0.8249770402908325
0,CBR,6,,70,ESTOI,0.6772317886352539
0,CBR,6,,70,ViSQOL-speech,3.5951346914143376
0,CBR,6,,70,NISQA_overall_MOS,4.52296257019043
0,CBR,7,,80,SI-SDR,5.001679420471191
