sample_idx,mode,Nq,level,bpf,metric,value
0,CBR,0,,10,SI-SDR,-0.23489665985107422
0,CBR,0,,10,PESQ,1.3263009786605835
0,CBR,0,,10,STOI,0.8099600076675415
0,CBR,0,,10,ESTOI,0.5962721109390259
0,CBR,0,,10,ViSQOL-speech,3.1385907515006575
0,CBR,0,,10,NISQA_overall_MOS,4.050050735473633
0,CBR,1,,20,SI-SDR,3.255415201187134
0,CBR,1,,20,PESQ,1.456254005432129
0,CBR,1,,20,STOI,0.8408932089805603
0,CBR,1,,20,ESTOI,0.6335873007774353
0,CBR,1,,20,ViSQOL-speech,3.3717451095098077
0,CBR,1,,20,NISQA_overall_MOS,4.398787975311279
0,CBR,2,,30,SI-SDR,4.308804512023926
0,CBR,2,,30,PESQ,1.5017502307891846
0,CBR,2,,30,STOI,0.8529987931251526
0,CBR,2,,30,ESTOI,0.6617323756217957
0,CBR,2,,30,ViSQOL-speech,3.45651939573958
0,CBR,2,,30,NISQA_overall_MOS,4.36793851852417
0,CBR,3,,40,SI-SDR,5.067517280578613
0,CBR,3,,40,PESQ,1.5242868661880493
0,CBR,3,,40,STOI,0.8544161915779114
0,CBR,3,,40,ESTOI,0.6672921776771545
0,CBR,3,,40,ViSQOL-speech,3.458261295922366
0,CBR,3,,40,NISQA_overall_MOS,4.393895149230957
0,CBR,4,,50,SI-SDR,5.683692932128906
0,CBR,4,,50,PESQ,1.5479443073272705
0,CBR,4,,50,STOI,0.8578739166259766
0,CBR,4,,50,ESTOI,0.6752404570579529
0,CBR,4,,50,ViSQOL-speech,3.4919087549188847
0,CBR,4,,50,NISQA_overall_MOS,4.318990230560303
0,CBR,5,,60,SI-SDR,6.102896690368652
0,CBR,5,,60,PESQ,1.5666488409042358
0,CBR,5,,60,STOI,0.8604264855384827
0,CBR,5,,60,ESTOI,0.6799907684326172
0,CBR,5,,60,ViSQOL-speech,3.5035816549487153
0,CBR,5,,60,NISQA_overall_MOS,4.160569190979004
0,CBR,6,,70,SI-SDR,6.358172416687012
0,CBR,6,,70,PESQ,1.5792696475982666
0,CBR,6,,70,STOI,0.8620077967643738
0,CBR,6,,70,ESTOI,0.6838558316230774
0,CBR,6,,70,ViSQOL-speech,3.4986817657882083
0,CBR,6,,70,NISQA_overall_MOS,4.166659832000732
0,CBR,7,,80,SI-SDR,6.619974136352539
0,CBR,7,,80,PESQ,1.5810925960540771
0,CBR,7,,80,STOI,0.8629609942436218
0,CBR,7,,80,ESTOI,0.6879595518112183
0,CBR,7,,80,ViSQOL-speech,3.527731414347202
0,CBR,7,,80,NISQA_overall_MOS,4.23494291305542
1,CBR,0,,10,SI-SDR,1.7328641414642334
1,CBR,0,,10,PESQ,1.507781744003296
1,CBR,0,,10,STOI,0.7309910655021667
1,CBR,0,,10,ESTOI,0.5400081872940063
1,CBR,0,,10,ViSQOL-speech,3.1097943699319037
1,CBR,0,,10,NISQA_overall_MOS,4.266282558441162
1,CBR,1,,20,SI-SDR,4.700235366821289
1,CBR,1,,20,PESQ,1.7584006786346436
1,CBR,1,,20,STOI,0.7655786275863647
1,CBR,1,,20,ESTOI,0.6049752831459045
1,CBR,1,,20,ViSQOL-speech,3.449578307255645
1,CBR,1,,20,NISQA_overall_MOS,4.399053573608398
1,CBR,2,,30,SI-SDR,6.302325248718262
1,CBR,2,,30,PESQ,1.8287070989608765
1,CBR,2,,30,STOI,0.7802942991256714
1,CBR,2,,30,ESTOI,0.6280531883239746
1,CBR,2,,30,ViSQOL-speech,3.5400089810068827
1,CBR,2,,30,NISQA_overall_MOS,4.490017414093018
1,CBR,3,,40,SI-SDR,7.2299957275390625
1,CBR,3,,40,PESQ,1.8797080516815186
1,CBR,3,,40,STOI,0.785272479057312
1,CBR,3,,40,ESTOI,0.6344596743583679
1,CBR,3,,40,ViSQOL-speech,3.565559486783437
1,CBR,3,,40,NISQA_overall_MOS,4.479193210601807
1,CBR,4,,50,SI-SDR,7.800765037536621
1,CBR,4,,50,PESQ,1.8933777809143066
1,CBR,4,,50,STOI,0.7886418700218201
1,CBR,4,,50,ESTOI,0.6353471279144287
1,CBR,4,,50,ViSQOL-speech,3.609036959062945
1,CBR,4,,50,NISQA_overall_MOS,4.451528072357178
1,CBR,5,,60,SI-SDR,8.257044792175293
1,CBR,5,,60,PESQ,1.9294391870498657
1,CBR,5,,60,STOI,0.789445698261261
1,CBR,5,,60,ESTOI,0.6424493789672852
